METODO;URI;STATUS;URL;USERAGENT;COOKIE;BROWSER;QSTATUS;SSTATUS;MSTATUS;LSTATUS;ACAO;QREGRA;SREGRA;MREGRA;LREGRA
0;2;0;1;3;0;2;2;0;0,0;0,0;3;1133;0;0,0;0,0
0;2;0;1;4;1;6;92;0;0,0;0,0;3;49;0;0,0;0,0
0;2;2;1;4;1;2;1;0;0,0;0,0;3;12;0;0,0;0,0
0;2;0;1;4;0;2;377;0;0,0;0,0;3;1;0;0,0;0,0
0;2;3;1;4;0;2;29;0;0,0;0,0;3;40;0;0,0;0,0
0;3;2;0;4;1;2;7;0;0,0;0,0;3;9;0;0,0;0,0
0;2;2;0;4;1;2;6;0;0,0;0,0;3;32;0;0,0;0,0
0;2;0;1;1;0;6;231;0;0,0;0,0;3;7;0;0,0;0,0
0;2;0;1;4;0;4;6;0;0,0;0,0;0;79;0;0,0;0,0
0;2;0;1;4;0;4;6;0;0,0;0,0;3;1888;0;0,0;0,0
0;3;3;1;1;0;5;3;0;0,0;0,0;3;27;0;0,0;0,0
0;0;3;1;4;0;2;119;0;0,0;0,0;3;7;0;0,0;0,0
0;2;0;1;4;0;6;1927;0;0,0;0,0;3;13;0;0,0;0,0
0;3;0;1;4;0;2;2;0;0,0;0,0;3;54;0;0,0;0,0
0;3;3;0;4;1;2;1;0;0,0;0,0;3;6;0;0,0;0,0
0;3;3;1;4;0;2;1329;0;0,0;0,0;3;261;0;0,0;0,0
2;3;1;0;3;0;3;1;0;0,0;0,0;0;0;0;0;0
0;3;4;0;4;1;6;2;0;0,0;0,0;0;0;0;0;0
0;2;4;4;1;0;6;6;0;0,0;0,0;0;0;0;0;0
0;3;0;0;1;1;6;2;0;0,0;0,0;0;0;0;0;0
0;0;1;0;3;1;3;71;0;0,0;0,0;0;0;0;0;0
0;2;1;0;1;1;6;9440;0;0,0;0,0;0;0;0;0;0
2;2;8;0;2;1;6;3;0;0,0;0,0;0;0;0;0;0
0;1;10;1;2;1;6;2;0;0,0;0,0;0;0;0;0;0
0;2;1;1;4;1;6;54281;0;0,0;0,0;0;0;0;0;0
0;1;5;1;4;1;6;27;0;0,0;0,0;0;0;0;0;0
0;1;4;1;1;0;6;14;0;0,0;0,0;0;0;0;0;0
0;2;1;4;2;1;6;231;0;0,0;0,0;0;0;0;0;0
0;1;1;1;0;0;0;5;0;0,0;0,0;0;0;0;0;0
2;2;0;0;4;1;5;1;0;0,0;0,0;0;0;0;0;0
0;1;10;1;4;1;6;6;0;0,0;0,0;0;0;0;0;0
0;2;3;1;4;0;6;29;0;0,0;0,0;0;0;0;0;0
0;2;0;1;4;1;5;104;0;0,0;0,0;0;0;0;0;0
0;1;3;1;3;0;5;8;0;0,0;0,0;0;0;0;0;0
0;2;0;0;0;0;0;1;0;0,0;0,0;0;0;0;0;0
0;1;1;0;1;1;6;29;0;0,0;0,0;0;0;0;0;0
2;3;1;0;4;0;6;1;0;0,0;0,0;0;0;0;0;0
2;3;7;1;4;0;2;88;0;0,0;0,0;0;0;0;0;0
1;3;3;1;1;0;2;16;0;0,0;0,0;0;0;0;0;0
2;2;1;0;2;1;6;6;0;0,0;0,0;0;0;0;0;0
0;0;4;1;3;0;5;1;0;0,0;0,0;0;0;0;0;0
0;0;3;1;2;0;2;1;0;0,0;0,0;0;0;0;0;0
0;2;1;1;1;1;2;497;0;0,0;0,0;0;0;0;0;0
0;2;10;1;4;0;2;1;0;0,0;0,0;0;0;0;0;0
0;3;3;0;4;0;6;4;0;0,0;0,0;0;0;0;0;0
0;0;10;1;3;0;3;8;0;0,0;0,0;0;0;0;0;0
0;1;5;0;4;1;6;1;0;0,0;0,0;0;0;0;0;0
0;2;1;1;4;1;4;50;0;0,0;0,0;0;0;0;0;0
0;2;0;1;0;0;3;92;0;0,0;0,0;0;0;0;0;0
0;3;0;0;4;0;2;1;0;0,0;0,0;0;0;0;0;0
0;1;7;1;4;1;6;1;1;100,0;0;0;0;0;0;0
0;3;3;0;3;0;3;1;0;0,0;0,0;0;0;0;0;0
0;2;1;4;0;0;0;24;0;0,0;0,0;0;0;0;0;0
0;2;11;0;4;1;2;6;0;0,0;0,0;0;0;0;0;0
0;1;1;1;2;0;6;35;0;0,0;0,0;0;0;0;0;0
0;1;11;1;4;0;5;1;0;0,0;0,0;0;0;0;0;0
0;3;1;3;4;1;6;36;0;0,0;0,0;0;0;0;0;0
0;2;1;0;3;0;5;52;0;0,0;0,0;0;0;0;0;0
0;0;10;0;1;1;2;16;0;0,0;0,0;0;0;0;0;0
1;1;10;1;3;0;5;3;0;0,0;0,0;0;0;0;0;0
0;2;0;0;2;1;2;1;0;0,0;0,0;0;0;0;0;0
0;2;3;4;2;1;6;3;0;0,0;0,0;0;0;0;0;0
0;3;1;0;3;0;3;13;0;0,0;0,0;0;0;0;0;0
0;2;1;4;4;0;2;941;0;0,0;0,0;0;0;0;0;0
2;3;1;0;4;1;2;2239;1;4,4662795891022775E-2;1,0;0;0;0;0;0
0;0;0;1;2;0;6;2;0;0,0;0,0;0;0;0;0;0
0;3;1;0;1;1;2;124;0;0,0;0,0;0;0;0;0;0
0;1;1;1;4;1;6;538;0;0,0;0,0;0;0;0;0;0
0;2;0;1;1;1;6;1265;0;0,0;0,0;0;0;0;0;0
0;0;4;1;2;0;6;133;0;0,0;0,0;0;0;0;0;0
0;1;5;1;1;1;6;17;0;0,0;0,0;0;0;0;0;0
0;2;1;1;2;1;2;219;0;0,0;0,0;0;0;0;0;0
0;0;10;0;4;1;5;20;0;0,0;0,0;0;0;0;0;0
0;1;1;1;3;1;3;29;0;0,0;0,0;0;0;0;0;0
1;3;1;1;4;0;6;13;0;0,0;0,0;0;0;0;0;0
0;1;10;0;1;1;2;8;0;0,0;0,0;0;0;0;0;0
0;3;1;0;4;0;6;12;0;0,0;0,0;0;0;0;0;0
0;2;0;0;4;1;6;959;0;0,0;0,0;0;0;0;0;0
0;2;1;1;1;1;5;31;0;0,0;0,0;0;0;0;0;0
0;2;3;4;4;1;6;14;0;0,0;0,0;0;0;0;0;0
0;3;10;0;3;1;3;35;0;0,0;0,0;0;0;0;0;0
1;2;4;1;3;0;5;1;0;0,0;0,0;0;0;0;0;0
0;2;1;4;1;1;6;882;0;0,0;0,0;0;0;0;0;0
2;2;10;0;2;1;6;2;0;0,0;0,0;0;0;0;0;0
0;3;4;1;1;0;6;10;0;0,0;0,0;0;0;0;0;0
0;0;3;4;4;1;6;2;0;0,0;0,0;0;0;0;0;0
0;2;4;4;2;0;6;2;0;0,0;0,0;0;0;0;0;0
0;1;1;0;4;1;5;1;0;0,0;0,0;0;0;0;0;0
0;2;1;0;4;0;2;8869;0;0,0;0,0;0;0;0;0;0
0;3;3;1;3;0;3;209;0;0,0;0,0;0;0;0;0;0
0;2;6;1;4;0;6;5;0;0,0;0,0;0;0;0;0;0
0;2;1;1;3;1;3;48914;0;0,0;0,0;0;0;0;0;0
0;2;5;0;2;1;6;31;0;0,0;0,0;0;0;0;0;0
0;2;1;1;1;0;6;23159;0;0,0;0,0;0;0;0;0;0
0;3;501;1;3;0;5;4;4;100,0;0;0;0;0;0;0
0;2;3;1;3;0;5;114;0;0,0;0,0;0;0;0;0;0
0;3;0;0;3;1;3;34;0;0,0;0,0;0;0;0;0;0
0;1;5;1;2;1;6;2;0;0,0;0,0;0;0;0;0;0
0;0;10;0;2;1;6;8;0;0,0;0,0;0;0;0;0;0
2;0;10;0;3;1;3;2;0;0,0;0,0;0;0;0;0;0
0;3;3;1;4;1;6;5;0;0,0;0,0;0;0;0;0;0
0;1;5;1;4;0;5;10;0;0,0;0,0;0;0;0;0;0
0;2;7;0;1;1;2;2;0;0,0;0,0;0;0;0;0;0
0;3;1;1;1;1;2;7;0;0,0;0,0;0;0;0;0;0
0;3;5;0;3;1;3;342;0;0,0;0,0;0;0;0;0;0
0;3;5;0;2;1;6;711;0;0,0;0,0;0;0;0;0;0
0;2;10;0;3;0;5;4;0;0,0;0,0;0;0;0;0;0
0;3;5;0;1;1;2;44;0;0,0;0,0;0;0;0;0;0
1;1;1;0;4;1;6;173;0;0,0;0,0;0;0;0;0;0
0;1;4;1;2;0;6;6;0;0,0;0,0;0;0;0;0;0
0;3;10;1;3;0;5;380;0;0,0;0,0;0;0;0;0;0
0;0;3;1;3;0;5;1724;0;0,0;0,0;0;0;0;0;0
0;3;3;1;3;1;5;1;0;0,0;0,0;0;0;0;0;0
0;3;1;0;1;1;5;2;0;0,0;0,0;0;0;0;0;0
0;2;10;1;2;0;2;1;0;0,0;0,0;0;0;0;0;0
0;2;1;0;2;1;6;28743;0;0,0;0,0;0;0;0;0;0
0;2;1;1;4;1;3;4;0;0,0;0,0;0;0;0;0;0
0;3;1;1;4;1;6;16;0;0,0;0,0;0;0;0;0;0
0;0;1;1;4;0;2;8;0;0,0;0,0;0;0;0;0;0
0;2;1;0;0;1;0;87;31;35,632183908045981;1,0;0;0;0;0;0
2;2;8;0;4;1;5;13;0;0,0;0,0;0;0;0;0;0
0;2;1;0;4;0;5;605;0;0,0;0,0;0;0;0;0;0
2;2;0;0;3;1;3;3;0;0,0;0,0;0;0;0;0;0
0;2;0;4;4;0;6;10;0;0,0;0,0;0;0;0;0;0
1;3;3;1;0;0;3;1;0;0,0;0,0;0;0;0;0;0
0;1;0;1;4;1;2;6;0;0,0;0,0;0;0;0;0;0
0;2;1;4;4;0;5;1792;0;0,0;0,0;0;0;0;0;0
0;3;5;1;4;1;6;1;0;0,0;0,0;0;0;0;0;0
0;1;3;1;1;0;6;1;0;0,0;0,0;0;0;0;0;0
0;0;1;0;1;1;2;24;0;0,0;0,0;0;0;0;0;0
0;1;10;1;0;0;5;4;0;0,0;0,0;0;0;0;0;0
0;2;1;0;2;1;3;8;0;0,0;0,0;0;0;0;0;0
