METODO;URI;STATUS;URL;USERAGENT;COOKIE;BROWSER;QSTATUS;SSTATUS;MSTATUS;LSTATUS;ACAO;QREGRA;SREGRA;MREGRA;LREGRA
0;0;0;1;4;1;4;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;0;3;4;0;1;4;0;0,0;0,0;3;4;0;0,0;0,0
0;0;2;0;1;0;4;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;2;0;1;1;1;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;2;0;1;1;4;22;0;0,0;0,0;3;22;0;0,0;0,0
0;0;2;0;2;0;4;3;0;0,0;0,0;3;3;0;0,0;0,0
0;0;2;0;2;1;1;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;2;0;2;1;4;40;0;0,0;0,0;3;40;0;0,0;0,0
0;0;2;0;3;0;2;41;0;0,0;0,0;3;41;0;0,0;0,0
0;0;2;0;3;0;4;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;2;0;3;0;8;2856;332;11,624649859943977;1,0;3;2856;0;0,0;0,0
0;0;2;0;3;1;0;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;2;0;3;1;2;74;0;0,0;0,0;3;74;0;0,0;0,0
0;0;2;0;4;0;1;8;0;0,0;0,0;3;8;0;0,0;0,0
0;0;2;0;4;0;4;128;11;8,59375;1,0;3;128;0;0,0;0,0
0;0;2;0;4;0;8;5;0;0,0;0,0;3;5;0;0,0;0,0
0;1;5;0;1;1;4;2;0;0,0;0,0;3;2;0;0,0;0,0
0;1;5;0;2;1;4;19;0;0,0;0,0;3;19;0;0,0;0,0
0;1;5;0;3;1;2;7;0;0,0;0,0;3;7;0;0,0;0,0
0;1;5;0;4;0;1;4;0;0,0;0,0;3;4;0;0,0;0,0
0;1;5;0;4;0;4;25;0;0,0;0,0;3;25;0;0,0;0,0
0;1;5;0;4;1;1;43;0;0,0;0,0;3;43;0;0,0;0,0
0;1;5;0;4;1;4;62;0;0,0;0,0;3;62;0;0,0;0,0
0;1;5;0;4;1;8;16;0;0,0;0,0;3;16;0;0,0;0,0
0;1;5;1;2;0;4;1;0;0,0;0,0;3;1;0;0,0;0,0
0;1;5;1;3;0;8;11;0;0,0;0,0;3;11;0;0,0;0,0
0;2;0;0;1;0;4;2;0;0,0;0,0;3;2;0;0,0;0,0
0;2;0;0;1;1;1;1;0;0,0;0,0;3;1;0;0,0;0,0
0;2;0;0;1;1;4;6;0;0,0;0,0;3;6;0;0,0;0,0
0;2;0;0;2;1;4;37;0;0,0;0,0;3;37;0;0,0;0,0
0;2;0;0;3;0;0;1;0;0,0;0,0;3;1;0;0,0;0,0
0;2;0;0;3;0;8;62;1;1,6129032258064515;1,0;3;62;0;0,0;0,0
0;2;2;1;4;0;4;90226;169;0,18730742801409794;1,0;0;3443;0;0,0;0,0
0;2;2;1;4;0;4;90226;169;0,18730742801409794;1,0;3;86783;0;0,0;0,0
