METODO;URI;STATUS;URL;USERAGENT;COOKIE;BROWSER;QSTATUS;SSTATUS;MSTATUS;LSTATUS;ACAO;QREGRA;SREGRA;MREGRA;LREGRA
0;0;0;0;1;1;4;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;0;0;3;1;2;4;0;0,0;0,0;3;4;0;0,0;0,0
0;0;0;0;4;1;4;3;0;0,0;0,0;3;3;0;0,0;0,0
0;0;0;0;4;1;5;3;0;0,0;0,0;3;3;0;0,0;0,0
0;0;0;1;2;0;4;2;0;0,0;0,0;3;2;0;0,0;0,0
0;0;0;1;2;1;4;3;0;0,0;0,0;3;3;0;0,0;0,0
0;0;0;1;3;0;5;59;15;25,423728813559322;1,0;0;1;0;0,0;0,0
0;0;0;1;3;0;5;59;15;25,423728813559322;1,0;3;58;0;0,0;0,0
0;0;0;1;4;1;5;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;2;0;1;1;1;16;0;0,0;0,0;3;16;0;0,0;0,0
0;0;2;0;1;1;4;13;0;0,0;0,0;3;13;0;0,0;0,0
0;0;2;0;2;1;2;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;2;0;2;1;4;14;0;0,0;0,0;3;14;0;0,0;0,0
0;0;2;0;2;1;5;3;0;0,0;0,0;3;3;0;0,0;0,0
0;0;2;0;3;0;2;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;2;0;3;0;5;4;0;0,0;0,0;3;4;0;0,0;0,0
0;1;2;1;4;1;5;2222;0;0,0;0,0;3;2222;0;0,0;0,0
0;1;2;1;4;1;6;1;0;0,0;0,0;3;1;0;0,0;0,0
0;1;2;1;5;0;1;13;0;0,0;0,0;3;13;0;0,0;0,0
0;1;2;1;5;1;5;2;0;0,0;0,0;3;2;0;0,0;0,0
0;1;3;0;1;0;4;2;0;0,0;0,0;3;2;0;0,0;0,0
0;1;3;0;1;1;4;18;0;0,0;0,0;3;18;0;0,0;0,0
0;1;3;0;2;0;4;2;0;0,0;0,0;3;2;0;0,0;0,0
0;1;3;0;2;1;4;18;0;0,0;0,0;3;18;0;0,0;0,0
0;1;3;0;4;1;5;2;0;0,0;0,0;3;2;0;0,0;0,0
0;1;3;1;1;0;1;8;0;0,0;0,0;3;8;0;0,0;0,0
0;1;3;1;1;0;4;16;0;0,0;0,0;3;16;0;0,0;0,0
0;1;3;1;1;1;1;159;0;0,0;0,0;0;29;0;0,0;0,0
0;1;3;1;1;1;1;159;0;0,0;0,0;3;130;0;0,0;0,0
0;1;3;1;1;1;4;246;0;0,0;0,0;3;246;0;0,0;0,0
0;1;3;1;2;0;4;55;0;0,0;0,0;3;55;0;0,0;0,0
