METODO;URI;STATUS;URL;USERAGENT;COOKIE;BROWSER;QSTATUS;SSTATUS;MSTATUS;LSTATUS;ACAO;QREGRA;SREGRA;MREGRA;LREGRA
0;1;5;1;4;1;4;39;28;71,794871794871796;1,0;0;0;0;0;0
0;2;2;1;5;1;5;39741;0;0,0;0,0;0;0;0;0;0
0;2;3;3;4;1;4;20;0;0,0;0,0;0;0;0;0;0
0;3;2;0;4;0;5;25;0;0,0;0,0;0;0;0;0;0
0;2;2;1;1;1;4;18151;0;0,0;0,0;0;0;0;0;0
0;3;3;2;2;0;4;2;0;0,0;0,0;0;0;0;0;0
1;2;3;0;4;1;4;1;0;0,0;0,0;0;0;0;0;0
0;3;5;1;4;1;5;8;8;100,0;0;0;0;0;0;0
2;2;0;0;4;1;1;1;1;100,0;0;0;0;0;0;0
1;1;5;1;3;0;5;9;9;100,0;0;0;0;0;0;0
3;0;5;1;3;0;5;2;2;100,0;0;0;0;0;0;0
0;2;4;0;4;1;5;42;1;2,3809523809523809;1,0;0;0;0;0;0
1;2;0;1;3;0;5;6;6;100,0;0;0;0;0;0;0
0;3;2;0;1;1;5;2;0;0,0;0,0;0;0;0;0;0
0;2;2;0;3;1;5;3003;107;3,5631035631035632;1,0;0;0;0;0;0
2;3;5;0;1;1;4;31;16;51,612903225806448;1,0;0;0;0;0;0
0;1;2;0;4;0;5;6;0;0,0;0,0;0;0;0;0;0
0;3;0;0;4;0;1;1;0;0,0;0,0;0;0;0;0;0
0;1;5;1;4;0;4;1;0;0,0;0,0;0;0;0;0;0
0;3;3;0;4;0;1;1;0;0,0;0,0;0;0;0;0;0
0;2;2;0;1;0;4;218;0;0,0;0,0;0;0;0;0;0
0;0;2;0;3;0;5;3;0;0,0;0,0;0;0;0;0;0
0;2;5;1;4;0;5;42;0;0,0;0,0;0;0;0;0;0
0;3;5;1;2;0;4;2;0;0,0;0,0;0;0;0;0;0
0;2;3;1;4;1;1;2;0;0,0;0,0;0;0;0;0;0
0;1;2;1;1;1;1;458;0;0,0;0,0;0;0;0;0;0
0;3;3;0;2;1;4;1744;0;0,0;0,0;0;0;0;0;0
2;3;2;1;5;1;5;2331;0;0,0;0,0;0;0;0;0;0
0;0;5;0;4;1;4;417;0;0,0;0,0;0;0;0;0;0
0;2;2;1;5;0;1;50;0;0,0;0,0;0;0;0;0;0
2;2;5;0;4;1;4;23;0;0,0;0,0;0;0;0;0;0
0;2;2;0;4;1;4;8483259;7;8,2515457797528041E-5;1,0;0;0;0;0;0
0;2;2;0;2;1;5;153;0;0,0;0,0;0;0;0;0;0
0;1;2;0;3;1;2;1;0;0,0;0,0;0;0;0;0;0
0;3;3;0;4;1;4;3690;0;0,0;0,0;0;0;0;0;0
0;3;2;0;4;1;1;10412;7;0,06723011909335383;1,0;0;0;0;0;0
0;3;3;1;2;0;5;1;0;0,0;0,0;0;0;0;0;0
0;1;3;1;1;0;1;6;0;0,0;0,0;0;0;0;0;0
0;3;5;0;3;1;2;105;23;21,904761904761905;1,0;0;0;0;0;0
0;2;0;0;1;1;4;288;0;0,0;0,0;0;0;0;0;0
1;3;3;1;3;0;5;114;0;0,0;0,0;0;0;0;0;0
2;3;2;0;2;1;5;2;0;0,0;0,0;0;0;0;0;0
2;2;5;0;4;1;1;280;0;0,0;0,0;0;0;0;0;0
0;2;2;1;4;1;2;1;0;0,0;0,0;0;0;0;0;0
0;2;3;0;4;1;1;51;0;0,0;0,0;0;0;0;0;0
0;2;4;1;5;1;5;10;10;100,0;0;0;0;0;0;0
0;1;5;0;1;1;4;11;1;9,0909090909090917;1,0;0;0;0;0;0
2;2;0;0;4;1;5;4;0;0,0;0,0;0;0;0;0;0
0;1;0;0;4;1;1;12;0;0,0;0,0;0;0;0;0;0
0;1;3;1;3;0;2;42;0;0,0;0,0;0;0;0;0;0
0;2;0;0;4;1;4;8691;2;2,3012311586698884E-2;1,0;0;0;0;0;0
0;0;2;1;4;1;4;1;0;0,0;0,0;0;0;0;0;0
0;1;2;1;4;0;4;217;0;0,0;0,0;0;0;0;0;0
0;2;0;1;1;0;1;2;0;0,0;0,0;0;0;0;0;0
0;2;2;3;1;0;4;26;0;0,0;0,0;0;0;0;0;0
0;2;3;3;4;1;5;1;0;0,0;0,0;0;0;0;0;0
0;3;2;0;4;1;2;3;0;0,0;0,0;0;0;0;0;0
1;2;5;1;3;0;5;22;22;100,0;0;0;0;0;0;0
2;2;5;0;1;1;1;16;0;0,0;0,0;0;0;0;0;0
0;3;3;2;4;0;1;2;0;0,0;0,0;0;0;0;0;0
0;0;2;1;2;1;4;6;0;0,0;0,0;0;0;0;0;0
0;0;2;1;3;1;5;24;0;0,0;0,0;0;0;0;0;0
0;1;2;1;1;0;1;64;0;0,0;0,0;0;0;0;0;0
0;3;5;0;3;0;5;106;0;0,0;0,0;0;0;0;0;0
0;0;2;1;3;0;2;1;0;0,0;0,0;0;0;0;0;0
0;1;0;1;4;1;4;11;1;9,0909090909090917;1,0;0;0;0;0;0
0;2;2;0;5;1;2;1235;0;0,0;0,0;0;0;0;0;0
0;1;2;1;1;0;4;68;0;0,0;0,0;0;0;0;0;0
0;3;3;1;4;0;4;11223;0;0,0;0,0;0;0;0;0;0
0;3;2;1;3;0;2;2;0;0,0;0,0;0;0;0;0;0
0;3;3;1;3;0;0;3;0;0,0;0,0;0;0;0;0;0
0;1;3;1;4;0;5;39;0;0,0;0,0;0;0;0;0;0
0;3;5;1;1;0;4;212;0;0,0;0,0;0;0;0;0;0
0;2;0;0;3;1;5;28;0;0,0;0,0;0;0;0;0;0
2;2;0;0;4;0;4;37;0;0,0;0,0;0;0;0;0;0
2;3;2;0;4;0;4;15;0;0,0;0,0;0;0;0;0;0
0;2;2;1;5;0;2;1490;0;0,0;0,0;0;0;0;0;0
0;2;3;1;3;0;2;1;0;0,0;0,0;0;0;0;0;0
0;3;2;0;1;1;4;495;0;0,0;0,0;0;0;0;0;0
0;1;5;0;4;1;1;883;0;0,0;0,0;0;0;0;0;0
0;0;2;0;2;1;4;39;0;0,0;0,0;0;0;0;0;0
0;1;2;0;5;0;4;1;0;0,0;0,0;0;0;0;0;0
