METODO;URI;STATUS;URL;USERAGENT;COOKIE;BROWSER;QSTATUS;SSTATUS;MSTATUS;LSTATUS;ACAO;QREGRA;SREGRA;MREGRA;LREGRA
0;0;2;0;4;1;4;1169;0;0,0;0,0;3;1169;0;0,0;0,0
0;0;2;1;4;0;4;7;0;0,0;0,0;3;7;0;0,0;0,0
0;0;3;1;2;0;1;3;0;0,0;0,0;3;3;0;0,0;0,0
0;0;3;1;4;1;1;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;5;0;4;1;4;343;0;0,0;0,0;3;342;0;0,0;0,0
0;0;5;0;4;1;4;343;0;0,0;0,0;0;1;0;0,0;0,0
0;1;0;0;1;1;4;2;0;0,0;0,0;3;2;0;0,0;0,0
0;1;0;0;3;1;2;2;0;0,0;0,0;3;2;0;0,0;0,0
0;1;0;0;4;1;1;5;0;0,0;0,0;3;5;0;0,0;0,0
0;1;0;1;4;0;1;2;0;0,0;0,0;3;2;0;0,0;0,0
0;1;2;1;2;1;1;109;0;0,0;0,0;3;109;0;0,0;0,0
0;1;2;1;3;0;0;1;0;0,0;0,0;3;1;0;0,0;0,0
0;1;2;1;4;1;5;1402;0;0,0;0,0;3;1402;0;0,0;0,0
0;1;3;0;1;1;4;19;0;0,0;0,0;3;19;0;0,0;0,0
0;1;3;1;1;0;4;73;0;0,0;0,0;3;73;0;0,0;0,0
0;1;3;1;3;0;2;17;0;0,0;0,0;3;17;0;0,0;0,0
0;2;0;0;4;1;5;1763;0;0,0;0,0;0;2;0;0,0;0,0
0;2;0;0;4;1;5;1763;0;0,0;0,0;3;1761;0;0,0;0,0
0;2;0;1;1;1;6;2;0;0,0;0,0;3;2;0;0,0;0,0
0;2;0;1;2;0;4;2230;0;0,0;0,0;3;2230;0;0,0;0,0
0;2;0;1;4;0;5;150;0;0,0;0,0;0;8;0;0,0;0,0
0;2;0;1;4;0;5;150;0;0,0;0,0;3;142;0;0,0;0,0
0;2;2;0;1;0;4;424;0;0,0;0,0;3;424;0;0,0;0,0
0;2;2;0;3;0;2;932;0;0,0;0,0;3;932;0;0,0;0,0
0;2;2;0;3;0;5;43;0;0,0;0,0;3;43;0;0,0;0,0
0;2;2;0;4;0;1;100126;0;0,0;0,0;0;73;0;0,0;0,0
0;2;2;0;4;0;1;100126;0;0,0;0,0;3;100042;0;0,0;0,0
0;2;2;0;4;0;1;100126;0;0,0;0,0;1;11;0;0,0;0,0
0;2;2;1;4;0;6;2369;0;0,0;0,0;3;2369;0;0,0;0,0
0;2;2;3;5;0;3;36;0;0,0;0,0;3;36;0;0,0;0,0
0;2;3;0;4;1;5;10;0;0,0;0,0;3;10;0;0,0;0,0
0;2;3;1;1;1;4;1;0;0,0;0,0;3;1;0;0,0;0,0
1;3;3;1;3;0;5;118;0;0,0;0,0;3;94;0;0,0;0,0
1;3;3;1;3;0;5;118;0;0,0;0,0;0;24;0;0,0;0,0
1;3;3;1;4;0;1;1;0;0,0;0,0;3;1;0;0,0;0,0
2;2;2;0;1;1;4;9;0;0,0;0,0;3;9;0;0,0;0,0
2;2;2;0;3;1;2;720;0;0,0;0,0;0;1;0;0,0;0,0
2;2;2;0;3;1;2;720;0;0,0;0,0;3;719;0;0,0;0,0
2;2;2;0;4;1;1;859;0;0,0;0,0;0;11;0;0,0;0,0
