METODO;URI;STATUS;URL;USERAGENT;COOKIE;BROWSER;QSTATUS;SSTATUS;MSTATUS;LSTATUS;ACAO;QREGRA;SREGRA;MREGRA;LREGRA
0;0;3;1;4;0;2;121;0;0,0;0,0;3;9;0;0,0;0,0
0;3;0;1;4;0;2;3;0;0,0;0,0;3;2;0;0,0;0,0
0;3;3;1;4;0;2;1203;0;0,0;0,0;0;4;0;0,0;0,0
0;3;3;1;4;0;2;1203;0;0,0;0,0;3;239;0;0,0;0,0
0;2;0;1;2;1;6;147;0;0,0;0,0;3;4;0;0,0;0,0
0;3;3;0;4;0;2;1;0;0,0;0,0;3;9;0;0,0;0,0
0;3;3;1;1;0;5;1;0;0,0;0,0;3;22;0;0,0;0,0
0;3;3;1;4;1;2;1;0;0,0;0,0;3;12;0;0,0;0,0
0;2;2;1;4;0;2;55;0;0,0;0,0;3;31;0;0,0;0,0
0;2;2;1;4;0;6;8;0;0,0;0,0;3;294;0;0,0;0,0
0;2;3;1;4;0;2;26;0;0,0;0,0;3;7;0;0,0;0,0
2;2;8;0;1;1;6;1;0;0,0;0,0;0;0;0;0;0
0;2;4;4;1;0;6;6;0;0,0;0,0;0;0;0;0;0
0;2;1;0;1;1;6;6382;0;0,0;0,0;0;0;0;0;0
2;2;8;0;2;1;6;1;0;0,0;0,0;0;0;0;0;0
0;2;1;1;4;1;6;8581;0;0,0;0,0;0;0;0;0;0
0;1;5;1;4;1;6;6;0;0,0;0,0;0;0;0;0;0
0;1;4;1;1;0;6;6;0;0,0;0,0;0;0;0;0;0
0;2;1;4;2;1;6;211;0;0,0;0,0;0;0;0;0;0
0;2;3;0;4;1;6;2;0;0,0;0,0;0;0;0;0;0
0;1;1;1;0;0;0;1;0;0,0;0,0;0;0;0;0;0
0;1;10;1;4;1;6;2;0;0,0;0,0;0;0;0;0;0
0;2;0;1;4;1;5;50;0;0,0;0,0;0;0;0;0;0
0;2;3;1;4;0;6;44;0;0,0;0,0;0;0;0;0;0
0;1;3;1;3;0;5;4;0;0,0;0,0;0;0;0;0;0
0;3;4;1;0;0;6;1;0;0,0;0,0;0;0;0;0;0
0;1;1;0;1;1;6;22;0;0,0;0,0;0;0;0;0;0
2;3;1;0;4;0;6;2;0;0,0;0,0;0;0;0;0;0
2;3;7;1;4;0;2;1473;0;0,0;0,0;0;0;0;0;0
1;3;3;1;1;0;2;12;0;0,0;0,0;0;0;0;0;0
2;2;1;0;2;1;6;4;0;0,0;0,0;0;0;0;0;0
0;0;4;1;3;0;5;1;0;0,0;0,0;0;0;0;0;0
0;3;7;0;2;1;6;2;0;0,0;0,0;0;0;0;0;0
0;2;1;1;1;1;2;316;0;0,0;0,0;0;0;0;0;0
0;3;1;4;3;1;5;355;0;0,0;0,0;0;0;0;0;0
2;3;0;1;4;0;2;140;0;0,0;0,0;0;0;0;0;0
0;2;1;1;4;1;4;3;0;0,0;0,0;0;0;0;0;0
0;3;1;0;1;0;6;1;0;0,0;0,0;0;0;0;0;0
0;2;0;1;0;0;3;14;0;0,0;0,0;0;0;0;0;0
0;3;3;0;3;0;3;6;0;0,0;0,0;0;0;0;0;0
0;1;1;1;2;0;6;27;0;0,0;0,0;0;0;0;0;0
0;3;1;3;4;1;6;35;0;0,0;0,0;0;0;0;0;0
0;1;0;0;4;1;6;2;0;0,0;0,0;0;0;0;0;0
1;1;10;1;3;0;5;3;0;0,0;0,0;0;0;0;0;0
0;3;1;0;3;0;3;7;0;0,0;0,0;0;0;0;0;0
0;2;3;4;2;1;6;2;0;0,0;0,0;0;0;0;0;0
0;2;1;4;4;0;2;251;0;0,0;0,0;0;0;0;0;0
2;3;1;0;4;1;2;1072;0;0,0;0,0;0;0;0;0;0
0;0;0;1;2;0;6;1;0;0,0;0,0;0;0;0;0;0
0;3;1;0;1;1;2;42;0;0,0;0,0;0;0;0;0;0
0;1;1;1;4;1;6;172;0;0,0;0,0;0;0;0;0;0
0;3;3;1;3;0;6;3;0;0,0;0,0;0;0;0;0;0
0;2;0;1;1;1;6;247;0;0,0;0,0;0;0;0;0;0
0;1;5;1;1;1;6;14;0;0,0;0,0;0;0;0;0;0
0;0;4;1;2;0;6;131;0;0,0;0,0;0;0;0;0;0
0;2;1;1;2;1;2;5;0;0,0;0,0;0;0;0;0;0
0;0;0;0;3;0;5;1;0;0,0;0,0;0;0;0;0;0
0;1;1;1;3;1;3;4;0;0,0;0,0;0;0;0;0;0
0;1;10;0;1;1;2;5;0;0,0;0,0;0;0;0;0;0
0;3;1;0;4;0;6;10;0;0,0;0,0;0;0;0;0;0
0;2;0;0;4;1;6;444;0;0,0;0,0;0;0;0;0;0
0;2;3;4;4;1;6;12;0;0,0;0,0;0;0;0;0;0
2;3;1;0;3;1;5;1;0;0,0;0,0;0;0;0;0;0
0;3;10;0;3;1;3;6;0;0,0;0,0;0;0;0;0;0
0;1;0;1;4;0;6;1;0;0,0;0,0;0;0;0;0;0
0;2;1;4;1;1;6;407;0;0,0;0,0;0;0;0;0;0
0;3;4;1;1;0;6;1;0;0,0;0,0;0;0;0;0;0
0;0;3;4;4;1;6;1;0;0,0;0,0;0;0;0;0;0
0;2;4;4;2;0;6;1;0;0,0;0,0;0;0;0;0;0
0;1;1;0;4;1;5;3;0;0,0;0,0;0;0;0;0;0
0;2;0;1;2;0;2;1;0;0,0;0,0;0;0;0;0;0
0;2;1;0;4;0;2;2761;8;0,28975009054690332;1,0;0;0;0;0;0
0;2;1;1;3;1;3;3004;0;0,0;0,0;0;0;0;0;0
0;2;5;0;2;1;6;33;0;0,0;0,0;0;0;0;0;0
0;3;3;1;3;0;3;55;0;0,0;0,0;0;0;0;0;0
0;2;6;1;4;0;6;1;0;0,0;0,0;0;0;0;0;0
0;2;1;1;1;0;6;9191;0;0,0;0,0;0;0;0;0;0
0;3;501;1;3;0;5;5;5;100,0;1,0;0;0;0;0;0
0;2;3;1;3;0;5;111;0;0,0;0,0;0;0;0;0;0
0;3;0;0;3;1;3;6;0;0,0;0,0;0;0;0;0;0
0;0;10;0;2;1;6;12;0;0,0;0,0;0;0;0;0;0
0;3;3;1;4;1;6;3;0;0,0;0,0;0;0;0;0;0
0;3;5;0;3;1;3;31;0;0,0;0,0;0;0;0;0;0
0;3;5;0;2;1;6;684;0;0,0;0,0;0;0;0;0;0
0;2;10;0;3;0;5;30;0;0,0;0,0;0;0;0;0;0
1;1;1;0;4;1;6;115;0;0,0;0,0;0;0;0;0;0
0;3;2;0;4;0;6;2;0;0,0;0,0;0;0;0;0;0
0;3;3;1;3;1;5;6;0;0,0;0,0;0;0;0;0;0
0;0;3;1;3;0;5;1522;0;0,0;0,0;0;0;0;0;0
0;3;10;1;3;0;5;390;0;0,0;0,0;0;0;0;0;0
0;3;1;0;1;1;5;2;0;0,0;0,0;0;0;0;0;0
0;2;1;0;2;1;6;32958;0;0,0;0,0;0;0;0;0;0
0;3;1;1;4;1;6;3;0;0,0;0,0;0;0;0;0;0
0;3;1;1;3;1;3;6;0;0,0;0,0;0;0;0;0;0
