METODO;URI;STATUS;URL;USERAGENT;COOKIE;BROWSER;QSTATUS;SSTATUS;MSTATUS;LSTATUS;ACAO;QREGRA;SREGRA;MREGRA;LREGRA
0;0;0;0;1;1;4;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;0;0;2;1;4;2;0;0,0;0,0;3;2;0;0,0;0,0
0;0;0;0;3;0;8;2632;3;0,11398176291793312;1,0;3;2632;0;0,0;0,0
0;0;0;0;4;0;4;56;0;0,0;0,0;3;56;0;0,0;0,0
0;0;0;0;4;1;1;19;0;0,0;0,0;3;19;0;0,0;0,0
0;0;0;0;4;1;4;94;0;0,0;0,0;3;94;0;0,0;0,0
0;0;0;0;4;1;8;6;0;0,0;0,0;3;6;0;0,0;0,0
0;0;0;1;1;0;4;4;0;0,0;0,0;3;4;0;0,0;0,0
0;0;0;1;1;1;4;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;0;1;2;0;1;3;0;0,0;0,0;3;3;0;0,0;0,0
0;0;0;1;2;0;4;9;0;0,0;0,0;3;9;0;0,0;0,0
0;0;0;1;2;1;4;106;0;0,0;0,0;3;106;0;0,0;0,0
0;0;0;1;3;0;2;6;0;0,0;0,0;3;6;0;0,0;0,0
0;0;0;1;3;0;8;97;15;15,463917525773196;1,0;0;2;0;0,0;0,0
0;0;0;1;3;0;8;97;15;15,463917525773196;1,0;3;95;0;0,0;0,0
0;0;0;1;3;1;8;2;0;0,0;0,0;3;2;0;0,0;0,0
0;0;3;2;5;1;5;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;3;3;1;0;4;57;0;0,0;0,0;3;57;0;0,0;0,0
0;0;3;3;1;1;4;54;0;0,0;0,0;3;54;0;0,0;0,0
0;0;3;3;2;0;4;8;0;0,0;0,0;3;8;0;0,0;0,0
0;0;3;3;2;1;4;7;0;0,0;0,0;3;7;0;0,0;0,0
0;0;3;3;3;0;2;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;3;3;3;0;8;4;0;0,0;0,0;3;4;0;0,0;0,0
0;0;3;3;3;1;8;3;0;0,0;0,0;3;3;0;0,0;0,0
0;0;3;3;4;0;4;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;3;3;4;0;8;2;0;0,0;0,0;3;2;0;0,0;0,0
0;0;3;3;4;1;2;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;3;3;4;1;4;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;3;3;4;1;8;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;3;3;5;0;1;2;0;0,0;0,0;3;2;0;0,0;0,0
0;0;3;3;5;0;2;4;0;0,0;0,0;3;4;0;0,0;0,0
0;0;3;3;5;1;4;2;0;0,0;0,0;3;2;0;0,0;0,0
0;2;0;0;4;1;4;2542;0;0,0;0,0;0;2;0;0,0;0,0
0;2;0;0;4;1;4;2542;0;0,0;0,0;3;2540;0;0,0;0,0
0;2;0;0;4;1;8;274;0;0,0;0,0;3;274;0;0,0;0,0
0;2;0;0;5;1;5;2;0;0,0;0,0;3;2;0;0,0;0,0
0;2;0;1;1;0;1;3;0;0,0;0,0;3;3;0;0,0;0,0
0;2;0;1;1;0;4;182;0;0,0;0,0;0;5;0;0,0;0,0
0;2;0;1;1;0;4;182;0;0,0;0,0;3;177;0;0,0;0,0
0;2;0;1;1;0;5;1;0;0,0;0,0;3;1;0;0,0;0,0
0;2;0;1;1;1;4;954;0;0,0;0,0;3;954;0;0,0;0,0
0;2;0;1;1;1;6;6;0;0,0;0,0;3;6;0;0,0;0,0
