METODO;URI;STATUS;URL;USERAGENT;COOKIE;BROWSER;QSTATUS;SSTATUS;MSTATUS;LSTATUS;ACAO;QREGRA;SREGRA;MREGRA;LREGRA
0;0;0;0;4;1;1;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;0;0;4;1;4;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;0;1;3;0;5;104;21;20,192307692307693;1,0;0;4;0;0,0;0,0
0;0;0;1;3;0;5;104;21;20,192307692307693;1,0;3;100;0;0,0;0,0
0;0;0;1;3;1;2;5;0;0,0;0,0;3;5;0;0,0;0,0
0;0;2;0;1;1;1;10;0;0,0;0,0;3;10;0;0,0;0,0
0;0;2;0;1;1;4;30;0;0,0;0,0;3;30;0;0,0;0,0
0;0;2;0;2;1;1;10;0;0,0;0,0;3;10;0;0,0;0,0
0;0;2;0;2;1;4;72;0;0,0;0,0;3;72;0;0,0;0,0
0;0;2;0;3;0;2;2;0;0,0;0,0;3;2;0;0,0;0,0
0;0;2;0;3;1;2;242;0;0,0;0,0;0;13;0;0,0;0,0
0;0;2;0;3;1;2;242;0;0,0;0,0;3;229;0;0,0;0,0
0;0;2;0;4;1;1;214;0;0,0;0,0;3;214;0;0,0;0,0
0;0;2;0;4;1;4;2136;0;0,0;0,0;0;1;0;0,0;0,0
0;0;2;0;4;1;4;2136;0;0,0;0,0;3;2135;0;0,0;0,0
0;0;2;0;4;1;5;50;0;0,0;0,0;3;50;0;0,0;0,0
0;1;3;1;2;1;4;7;0;0,0;0,0;3;7;0;0,0;0,0
0;1;3;1;3;0;2;28;0;0,0;0,0;3;28;0;0,0;0,0
0;1;3;1;3;0;5;15;0;0,0;0,0;3;15;0;0,0;0,0
0;1;3;1;3;1;1;1;0;0,0;0,0;3;1;0;0,0;0,0
0;1;3;1;3;1;2;27;0;0,0;0,0;3;27;0;0,0;0,0
0;1;3;1;4;0;1;43;0;0,0;0,0;3;43;0;0,0;0,0
0;1;3;1;4;0;4;30;0;0,0;0,0;0;3;0;0,0;0,0
0;1;3;1;4;0;4;30;0;0,0;0,0;3;27;0;0,0;0,0
0;1;3;1;4;0;5;55;0;0,0;0,0;3;55;0;0,0;0,0
0;1;3;1;4;1;1;1272;0;0,0;0,0;0;37;0;0,0;0,0
0;1;3;1;4;1;1;1272;0;0,0;0,0;3;1235;0;0,0;0,0
0;1;3;1;4;1;4;181;0;0,0;0,0;0;5;0;0,0;0,0
0;1;3;1;4;1;4;181;0;0,0;0,0;3;176;0;0,0;0,0
0;1;3;1;4;1;5;87;0;0,0;0,0;0;1;0;0,0;0,0
0;1;3;1;4;1;5;87;0;0,0;0,0;3;86;0;0,0;0,0
0;1;3;1;5;0;1;1;0;0,0;0,0;3;1;0;0,0;0,0
0;2;2;0;3;0;2;3612;0;0,0;0,0;0;136;0;0,0;0,0
0;2;2;0;3;0;2;3612;0;0,0;0,0;3;3476;0;0,0;0,0
0;2;2;0;3;0;4;2;0;0,0;0,0;3;2;0;0,0;0,0
0;2;2;0;3;1;0;1909;0;0,0;0,0;0;30;0;0,0;0,0
0;2;2;0;3;1;0;1909;0;0,0;0,0;3;1879;0;0,0;0,0
0;2;2;0;3;1;1;242;0;0,0;0,0;3;242;0;0,0;0,0
0;2;2;0;3;1;2;1272134;1;7,8608071162314651E-5;1,0;1;79;0;0,0;0,0
0;2;2;0;3;1;2;1272134;1;7,8608071162314651E-5;1,0;0;34513;0;0,0;0,0
0;2;2;0;3;1;2;1272134;1;7,8608071162314651E-5;1,0;3;1237542;0;0,0;0,0
0;2;2;0;3;1;4;6754;0;0,0;0,0;3;6754;0;0,0;0,0
0;2;2;0;3;1;5;3954;106;2,6808295397066262;1,0;3;3954;0;0,0;0,0
0;2;2;0;4;0;1;107042;64;5,9789615291194115E-2;1,0;0;351;0;0,0;0,0
0;2;2;0;4;0;1;107042;64;5,9789615291194115E-2;1,0;3;106691;0;0,0;0,0
0;2;2;0;4;0;2;43;0;0,0;0,0;3;43;0;0,0;0,0
0;2;2;0;4;0;4;7226;0;0,0;0,0;0;9;0;0,0;0,0
0;2;2;0;4;0;4;7226;0;0,0;0,0;3;7217;0;0,0;0,0
0;2;3;1;4;0;4;46;0;0,0;0,0;3;46;0;0,0;0,0
0;2;3;1;4;0;5;1;0;0,0;0,0;3;1;0;0,0;0,0
0;2;3;1;4;1;1;2;0;0,0;0,0;3;2;0;0,0;0,0
0;2;3;1;4;1;4;5;0;0,0;0,0;3;5;0;0,0;0,0
0;2;3;1;5;0;4;8;0;0,0;0,0;3;8;0;0,0;0,0
0;2;3;1;5;0;5;10;0;0,0;0,0;3;10;0;0,0;0,0
0;2;3;3;1;0;1;1;0;0,0;0,0;3;1;0;0,0;0,0
0;2;3;3;3;0;2;1;0;0,0;0,0;3;1;0;0,0;0,0
0;2;3;3;3;1;2;1;0;0,0;0,0;3;1;0;0,0;0,0
0;2;3;3;4;0;4;7;0;0,0;0,0;3;7;0;0,0;0,0
0;2;3;3;4;0;5;1;0;0,0;0,0;3;1;0;0,0;0,0
0;2;3;3;4;1;1;1;0;0,0;0,0;3;1;0;0,0;0,0
0;2;3;3;4;1;4;11;0;0,0;0,0;3;11;0;0,0;0,0
0;2;3;3;4;1;5;1;0;0,0;0,0;3;1;0;0,0;0,0
0;2;4;0;1;1;1;8;0;0,0;0,0;3;8;0;0,0;0,0
0;2;4;0;1;1;4;16;2;12,5;1,0;3;16;0;0,0;0,0
0;3;3;0;1;0;4;4;0;0,0;0,0;3;4;0;0,0;0,0
0;3;3;0;1;1;1;191;0;0,0;0,0;0;10;0;0,0;0,0
0;3;3;0;1;1;1;191;0;0,0;0,0;3;181;0;0,0;0,0
0;3;3;0;1;1;4;178;0;0,0;0,0;3;178;0;0,0;0,0
0;3;3;0;2;1;4;1494;0;0,0;0,0;3;1494;0;0,0;0,0
0;3;3;0;3;0;2;5;0;0,0;0,0;3;5;0;0,0;0,0
